Mean,mu_MLE,mu_MOM,variance,sigma_squared_MLE,sigma_squared_MOM
3.60785,3.6247352130499917,4.302066963336103,4.412400549999999,4.429829773501331,9.041911795034189
3.6112,3.6315442776165647,4.330612853219681,7.049062400000001,6.945909028272147,12.370308113900546
3.6484300000000003,3.661945956742735,4.291502351266747,2.89685342,2.87718905550901,6.026738994618592
3.65795,3.594058719055988,4.285040637274482,17.9605345,17.337551837160962,28.501663530101094
3.667,3.6599424995365513,4.367654733338284,13.9346,13.539559417903838,21.83016579937736
3.676575,3.64720367550036,4.355086067386699,6.047965874999999,5.763349332751352,11.07618345816726
3.6792599999999998,3.6667201607762903,4.344842088013687,4.25690382,4.192514653693928,8.653602956714357
3.687875000000001,3.6977540947636007,4.351220368119404,3.337526875,3.3753618719061413,7.159386852475425
3.710655,3.759018958477041,4.478953504123531,23.536684665,23.45301835755022,37.29200539428551
3.737880000000001,3.738593384583859,4.466672656089843,12.936802680000005,12.755711863451898,21.290783670959314
3.74946,3.7351642371463423,4.400795072563035,3.70446648,3.4393498124978197,7.388448721422732
3.76775,3.76397386653696,4.4906581383964586,8.11196575,7.9151823584461924,13.53795497338732
3.7771199999999996,3.7486258507316816,4.423908233517301,3.89798784,3.725734856999712,7.914622029128809
3.79176,3.7973932865600015,4.489118237518717,3.70075776,3.715961677897089,8.090250639173494
3.844955,3.8077999574674513,4.5475571912406005,7.801413695,7.420248126828683,13.109663769929895
3.87945,3.7553993728629775,4.4722783307311245,13.55867775,12.671907510907971,20.58101761379196
3.917475,3.9099128704144506,4.628267492801019,4.054586625,3.9806988734734614,8.787514627513367
3.92247,3.936586286517545,4.665086599580178,4.16958561,4.145335305590904,9.105116583006811
3.92675,3.955015270845134,4.742940101352845,11.09306875,11.061968224604245,19.618192325218157
3.9492,4.002269357089621,4.784223421717398,8.6645448,8.614286488293768,15.32705860305172
3.9564,3.9735709914984065,4.741488034562991,5.5903931999999985,5.450165400197871,11.229254772419756
3.9824,3.9853379894203838,4.739406420866022,4.8425984,4.778552045075209,10.23259539245742
3.98784,3.9652586472001063,4.740513434977455,6.412446720000001,6.138977157256364,12.060739121937717
4.0352250000000005,4.063587725639299,4.859134027173142,6.2747748749999985,6.234402903052459,12.360243914902645
4.0384,4.0333901003228645,4.661087704714372,2.5482304,2.550322908986577,5.786382879589385
4.04206,4.042540670496612,4.7595034096923285,3.908672020000001,3.7252778649872624,8.49287610789948
4.087125,4.060350745300775,4.8290252626550165,4.949508374999999,4.895959764884629,10.549142634408414
4.11025,4.1293693685778905,4.887140280893879,4.2130062499999985,4.2441094042389045,9.646095275398363
4.11075,4.125274230518623,4.902215993888996,4.661590500000001,4.660058111692909,10.277980880040824
4.1368350000000005,4.1025179345635925,4.904913724932031,14.441690985,14.203440495718025,24.00131828938479
4.1932800000000015,4.166614177591711,4.99117239830713,7.849820159999998,7.625579264161918,14.152745011208065
4.221945,4.2035002370442935,4.975675529827045,4.352825294999999,4.35673089662651,9.973846926151523
4.25271,4.276511153351866,5.118077542632874,6.8766320699999985,6.704202754276334,13.263953049976893
4.25756,4.259792099327438,5.082547758950106,5.56037336,5.445216250745865,11.753196633402474
4.26106,4.282297185588011,5.074165444611147,4.3803696799999985,4.337562371266523,10.183375998438633
4.2903,4.2774534060400535,5.059588892789998,4.0543335,4.139825339047674,9.852627087164649
4.3146,4.311748887333535,5.15705788094142,13.789461600000005,13.564747044313581,24.021278381798414
4.33827,4.36080939045779,5.226200712308472,7.088733180000001,6.9130780470368265,13.72939598140991
4.35336,4.360605869891656,5.219372931915436,6.756414719999999,6.550600140903431,13.242127260863574
4.4011200000000015,4.4167936288419005,5.1141164603258815,3.045575040000001,2.996515452940636,7.905081172787382
4.4512,4.242345232138759,5.124336838795901,99.0659072,89.40138110625631,137.10979437708858
4.4528,4.449173617423464,5.309992739262663,5.6327919999999985,5.5444823196459705,12.232468261272011
4.598565,4.557115713141084,5.412827727204888,5.017034415,4.860217251086053,11.45335361251092
4.6108699999999985,4.598564127012613,5.511622639259674,8.470168189999999,8.307046200578293,15.97041505645535
4.61656,4.649401788850951,5.5524627208303965,5.52140576,5.616219865367854,12.775652412485087
4.6299,4.633042887379245,5.40874083846246,3.5140941000000003,3.4265113875415447,9.540971562768881
4.64814,4.627310471441111,5.5492984550209545,7.348709339999999,7.016744994121161,14.327806903860171
4.6799800000000005,4.677372447889564,5.578911961136212,5.19009782,5.107112937658173,12.262949434344005
4.69921,4.7126747353923735,5.616832053632408,14.201012619999995,14.203585873797548,24.706775902722352
4.739025000000002,4.7508676466911615,5.656022150050132,5.0186274750000015,5.040706431545913,12.335272196079966
4.802645,4.831035048479415,5.785311796156031,6.142582955000001,6.055460976500073,13.62259629969659
4.80361,4.815105289041894,5.753899093858912,5.48091901,5.521239413784983,12.987003811671553
4.804799999999998,4.723870346297703,5.66355329873462,8.072064,7.727384964420474,15.010729399136169
4.819075,4.827132697716113,5.792991549548392,6.963563375,6.85625438344286,14.444097237908256
4.82045,4.781863486759501,5.723667191314191,11.0388305,10.316970676835346,18.588480671233192
4.826834999999999,4.742371919882677,5.6953301081361865,9.687457844999997,9.136661077176905,16.96283666681319
4.92804,4.8909168861106815,5.8816170647857176,9.58010976,9.185620114758331,18.01134360245905
4.9481199999999985,4.916662972328551,5.887484744031407,11.885384239999995,11.019933892963367,19.965430338728844
4.955055000000001,4.986664993594402,5.97076705662938,5.703268305,5.700912484904102,13.638862879860769
5.04868,5.0838882994623225,6.069488149940147,4.9880958400000015,4.9120899061486725,13.128884031668472
5.08891,5.149552001780828,6.208904132280352,9.21601601,9.335386676178224,18.42409449256844
5.09894,5.049264446324504,6.0737319507064536,8.63760436,8.365136425910515,16.816927122010448
5.145395,5.042622386833304,6.032822066984692,15.997033055,14.88903861932815,26.7536575847229
5.257250000000001,5.276290487165709,6.345664715944384,6.5032182500000015,6.373236389853063,14.986215148219344
5.26536,5.243261000858241,6.302048727303548,6.72913008,6.40770680241312,14.89502669324098
5.265834999999999,5.267812545889287,6.3390473965996215,7.956676684999998,7.821421121980438,15.983692849724465
5.27345,5.2866977845936205,6.35602988571004,6.51271075,6.3623229324979675,14.966613375180644
