,a_MLE,b_MLE,a_std,b_std,mu_MOM,sigma_MOM,Inference_grade,Score,Mean,standard deviation,mu_ML,sigma_ML,a,b
136,3.1569535378536924,23.40800729081307,0.07026328475375802,0.5962453595558284,107.34753802031129,74.85595553428126,1.0,0.0,75.19,44.001619288385285,73.89799143083735,41.59092115100942,2.92,25.75
137,5.406034169208753,54.11909896529142,0.16740982097530954,1.7273991635378523,428.8965051943922,305.5096965157834,1.0,0.0,293.45315000000005,124.95856157742855,292.5696982131555,125.83166712653538,5.515,53.21000000000001
138,7.371986577862342,102.05169100578617,0.1392137057881993,1.9441571960137094,895.7681374853191,488.7609204754844,1.0,0.0,753.989,274.3138753326197,752.3236963428106,277.084653843383,7.555,99.80000000000001
139,1.9193719826763522,10.026311145822701,0.034928706408226574,0.2255638666886627,26.66735715940486,21.231625741173776,1.0,0.07669021190716448,19.3778,14.11395706384287,19.244220702887727,13.890591942967555,1.885,10.280000000000001
140,5.303799383269268,29.49647675396991,0.09289588825022953,0.5845769420267936,197.92415504887205,107.9720884656239,1.0,0.0,156.46120000000002,67.83453318185363,156.4433952163219,67.93032437954619,5.32,29.410000000000004
141,4.630422244171895,205.68557716644915,0.08891100271286363,3.976381881300069,1278.5167374993603,1032.9002121104152,1.0,0.0,953.371,436.0617455705098,952.4110718168611,442.6027801611367,4.78,199.45
142,3.2796364781618594,10.979175678272664,0.05496160517452429,0.21028055442046967,47.131148458411204,35.33320681439846,1.0,0.0021008403361344537,35.9822,20.021031641751133,36.007705054610504,19.8830309451551,3.23,11.14
143,2.1651643181989857,7.50588369155246,0.04155572664332545,0.17223832786672238,23.04337033371563,17.750394469347583,1.0,0.08542713567839195,16.251549999999998,11.309274888338333,16.25147154550107,11.044530557570354,2.065,7.87
144,0.891507864681693,8.086441555917053,0.019994734118374307,0.21269670547705954,10.133677854423382,12.269636798964061,1.0,0.46177062374245476,7.218,7.60844005036512,7.209126244388919,7.635193386187334,0.9,8.02
145,0.35277372944041796,30.052464201187398,0.007326012369040496,0.8673266840215599,15.114624841488714,27.41410093474165,1.0,0.5420375865479723,10.857149999999999,18.484439685854696,10.601719875127529,17.84958842713991,0.345,31.47
